NAME,INCHKEY,SMILES,Experimental Retention Time,XGBOOST,RANDOM FOREST,BRNN,LIGHTGBM,KERAS,,XGBOOST,BRNN,RANDOM FOREST,LIGHTGBM,KERAS
Clonidine,GJSURZIOUXUGAL-UHFFFAOYSA-N,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,2.85,2.69,3.11,2.43,2.82,2.29,,0.16,0.26,0.42,0.04,0.56
Cocaethylene,NMPOSNRHZIWLLL-XUWVNRHRSA-N,CCOC(=O)C1C2CCC(N2C)CC1OC(=O)C3=CC=CC=C3,2.12,2.55,2.37,1.89,2.62,2.35,,0.43,0.25,0.23,0.51,0.23
Coniferylaldehyde,DKZBBWMURDFHNE-NSCUHMNNSA-N,COC1=C(C=CC(=C1)C=CC=O)O,1.14,1.37,1.30,1.95,1.28,2.87,,0.23,0.16,0.81,0.14,1.73
Cordycepin,OFEZSBMBBKLLBJ-BAJZRUMYSA-N,C1C(OC(C1O)N2C=NC3=C2N=CN=C3N)CO,3.54,4.01,3.85,4.28,3.97,3.59,,0.47,0.31,0.74,0.43,0.05
Corticosterone,OMFXVFTZEKFJBZ-HJTSIMOOSA-N,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,1.25,1.41,1.27,1.96,1.21,1.36,,0.16,0.02,0.70,0.04,0.11
Cortodoxone,WHBHBVVOGNECLV-OBQKJFGGSA-N,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C(=O)CO)O)C,1.15,1.15,1.16,1.24,1.19,0.95,,0.00,0.01,0.10,0.04,0.19
Corydaline,VRSRXLJTYQVOHC-YEJXKQKISA-N,CC1C2C3=CC(=C(C=C3CCN2CC4=C1C=CC(=C4OC)OC)OC)OC,1.52,1.69,1.63,2.29,1.55,1.59,,0.17,0.12,0.77,0.04,0.07
Coumarin,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC(=O)O2,1.08,1.60,1.33,1.93,1.68,2.70,,0.52,0.25,0.85,0.60,1.62
Crotamiton,DNTGGZPQPQTDQF-XBXARRHUSA-N,CCN(C1=CC=CC=C1C)C(=O)C=CC,0.97,0.87,1.13,1.97,1.00,2.91,,0.10,0.16,1.00,0.03,1.94
Cyclo(Leu-Pro),SZJNCZMRZAUNQT-IUCAKERBSA-N,CC(C)CC1C(=O)N2CCCC2C(=O)N1,1.29,1.51,1.66,1.46,1.28,1.95,,0.22,0.38,0.18,0.01,0.67
Cyclohexanamine,PAFZNILMFXTMIY-UHFFFAOYSA-N,C1CCC(CC1)N,5.10,5.54,5.09,4.82,5.30,4.90,,0.44,0.01,0.28,0.20,0.20
Cyproheptadine,JJCFRYNCJDLXIK-UHFFFAOYSA-N,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,2.31,2.46,2.41,2.32,2.42,2.56,,0.15,0.10,0.01,0.11,0.25
Cysteic acid,XVOYSCVBGLVSOL-REOHCLBHSA-N,C(C(C(=O)O)N)S(=O)(=O)O,8.92,8.72,8.96,8.72,8.85,9.01,,0.20,0.03,0.20,0.07,0.09
Cysteine,XUJNEKJLAYXESH-REOHCLBHSA-N,C(C(C(=O)O)N)S,5.31,6.02,6.22,7.45,6.07,7.80,,0.71,0.91,2.14,0.76,2.48
Cystine,LEVWYRKDKASIDU-IMJSIDKUSA-N,C(C(C(=O)[O-])[NH3+])SSCC(C(=O)[O-])[NH3+],9.97,9.17,9.14,9.20,9.20,9.27,,0.80,0.83,0.77,0.77,0.70
Cytarabine,UHDGCWIWMRVCDJ-CCXZUQQUSA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,6.72,6.25,6.58,4.91,6.09,6.74,,0.47,0.14,1.81,0.63,0.02
Cytidine-5'-monophosphate,IERHLVCPSMICTF-XVFCMESISA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O,9.48,9.39,9.29,8.61,9.18,9.48,,0.09,0.19,0.87,0.30,0.00
Cytidine,UHDGCWIWMRVCDJ-XVFCMESISA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,6.85,6.25,6.58,4.91,6.09,6.74,,0.60,0.26,1.94,0.76,0.11
Daidzein,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,1.39,1.07,1.36,1.28,1.16,1.13,,0.32,0.03,0.11,0.23,0.26
Dehydrocholic acid,OHXPGWPVLFPUSM-KLRNGDHRSA-N,CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C,1.16,1.26,1.31,0.91,1.13,1.38,,0.10,0.15,0.25,0.03,0.22
delta-Hydroxylysine,YSMODUONRAFBET-UHNVWZDZSA-N,C(CC(C(=O)O)N)C(CN)O,9.77,9.52,9.42,9.52,9.78,9.57,,0.25,0.35,0.25,0.01,0.20
Desloratadine,JAUOIFJMECXRGI-UHFFFAOYSA-N,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,4.90,4.07,4.14,3.08,4.42,3.91,,0.83,0.76,1.82,0.48,0.99
Desoximetasone,VWVSBHGCDBMOOT-IIEHVVJPSA-N,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C,1.13,1.08,1.16,1.27,1.27,1.30,,0.05,0.02,0.14,0.14,0.17
Dexbrompheniramine,ZDIGNSYAACHWNL-HNNXBMFYSA-N,CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2,2.56,2.57,2.54,2.68,2.61,2.66,,0.01,0.02,0.12,0.06,0.10
Dexchlorpheniramine,SOYKEARSMXGVTM-HNNXBMFYSA-N,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,2.54,2.64,2.56,2.76,2.61,3.08,,0.10,0.02,0.22,0.07,0.54
Dextrorphan,JAQUASYNZVUNQP-PVAVHDDUSA-N,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O,3.87,3.57,3.60,4.13,3.68,4.07,,0.30,0.27,0.25,0.19,0.20
Diazepam,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,1.10,1.05,1.12,1.23,1.15,1.07,,0.05,0.02,0.13,0.05,0.03
Diazoxide,GDLBFKVLRPITMI-UHFFFAOYSA-N,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,1.09,1.51,1.62,1.46,1.58,0.94,,0.42,0.53,0.37,0.48,0.15
Diclofenac,DCOPUUMXTXDBNB-UHFFFAOYSA-N,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,1.08,1.16,1.22,1.52,1.27,1.64,,0.08,0.14,0.43,0.19,0.55
Dihydrocapsaicin,XJQPQKLURWNAAH-UHFFFAOYSA-N,CC(C)CCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,1.07,1.08,1.11,1.44,1.07,1.71,,0.01,0.04,0.37,0.00,0.64
Dihydrozeatin,XXFACTAYGKKOQB-UHFFFAOYSA-N,CC(CCNC1=NC=NC2=C1NC=N2)CO,2.99,2.87,2.96,3.51,2.93,3.04,,0.12,0.03,0.52,0.06,0.05
Dimethyl phthalate,NIQCNGHVCWTJSM-UHFFFAOYSA-N,COC(=O)C1=CC=CC=C1C(=O)OC,1.04,0.92,1.29,1.17,0.88,1.36,,0.12,0.24,0.13,0.16,0.31
Dioctyl Phthalate,MQIUGAXCHLFZKX-UHFFFAOYSA-N,CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC,0.96,1.12,1.21,0.43,1.20,2.01,,0.16,0.25,0.53,0.24,1.06
Diphenoxylate,HYPPXZBJBPSRLK-UHFFFAOYSA-N,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,1.41,1.71,1.79,0.72,1.73,1.26,,0.30,0.37,0.69,0.32,0.15
Diphenylcyclopropenone,HCIBTBXNLVOFER-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=C(C2=O)C3=CC=CC=C3,1.01,1.86,1.79,1.75,2.04,2.41,,0.85,0.78,0.74,1.03,1.39
Disulfiram,AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC,0.93,1.18,1.42,0.94,0.78,1.40,,0.25,0.49,0.01,0.15,0.47
Docetaxel,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,1.34,1.99,1.87,1.20,1.87,0.09,,0.65,0.54,0.13,0.54,1.24
Dofetilide,IXTMWRCNAAVVAI-UHFFFAOYSA-N,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,3.38,3.50,3.50,4.37,3.56,3.21,,0.12,0.12,0.99,0.18,0.17
Dolasetron,UKTAZPQNNNJVKR-AKJUYKBHSA-N,C1C2CC(CC3N2CC(=O)C1C3)OC(=O)C4=CNC5=CC=CC=C54,1.90,2.33,2.11,2.11,2.40,2.58,,0.43,0.21,0.20,0.50,0.68
Donepezil,ADEBPBSSDYVVLD-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,2.44,2.37,2.42,2.05,2.45,2.38,,0.07,0.03,0.39,0.00,0.07
Dopamine,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C1=CC(=C(C=C1CCN)O)O,6.40,6.30,5.79,4.62,6.51,4.80,,0.10,0.60,1.78,0.12,1.60
Doxapram,XFDJYSQDBULQSI-UHFFFAOYSA-N,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,1.64,2.07,2.02,2.06,2.13,2.11,,0.43,0.38,0.42,0.49,0.47
Doxepin,ODQWQRRAPPTVAG-GZTJUZNOSA-N,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,2.26,2.34,2.31,2.55,2.39,2.07,,0.08,0.05,0.28,0.13,0.19
Doxorubicin,AOJJSUZBOXZQNB-TZSSRYMLSA-N,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,6.02,5.89,5.86,6.74,6.01,5.88,,0.13,0.15,0.72,0.00,0.14
Doxylamine,HCFDWZZGGLSKEP-UHFFFAOYSA-N,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,2.45,2.46,2.53,2.67,2.65,2.48,,0.01,0.08,0.22,0.20,0.02
Droperidol,RMEDXOLNCUSCGS-UHFFFAOYSA-N,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,3.48,2.82,3.21,2.19,3.26,2.87,,0.66,0.27,1.29,0.22,0.61
Duloxetine,ZEUITGRIYCTCEM-KRWDZBQOSA-N,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,2.60,2.67,2.70,2.03,2.66,2.10,,0.07,0.10,0.57,0.06,0.50
E-4031,SRUISGSHWFJION-UHFFFAOYSA-N,CC1=NC(=CC=C1)CCN2CCC(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C,2.92,3.44,3.29,3.45,3.50,3.04,,0.52,0.37,0.53,0.58,0.13
EDDP,AJRJPORIQGYFMT-PVOVUMCXSA-N,CC=C1C(CC(N1C)C)(C2=CC=CC=C2)C3=CC=CC=C3,1.90,1.92,2.20,2.61,1.90,2.05,,0.02,0.30,0.71,0.01,0.14
Enalaprilat,LZFZMUMEGBBDTC-QEJZJMRPSA-N,CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O,7.07,5.76,6.10,6.04,5.31,6.88,,1.31,0.97,1.02,1.75,0.18
Enrofloxacin,SPFYMRJSYKOXGV-UHFFFAOYSA-N,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,3.31,3.21,3.22,3.16,3.21,3.71,,0.10,0.10,0.15,0.10,0.40
Epigallocatechin,XMOCLSLCDHWDHP-IUODEOHRSA-N,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,10.17,6.04,7.54,4.50,6.38,6.49,,4.13,2.63,5.67,3.79,3.68
Epirubicin,AOJJSUZBOXZQNB-VTZDEGQISA-N,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,5.92,5.89,5.86,6.74,6.01,5.88,,0.03,0.06,0.82,0.09,0.04
Equol,ADFCQWZHKCXPAJ-UHFFFAOYSA-N,C1C(COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O,1.19,1.58,1.28,1.91,1.53,1.66,,0.39,0.09,0.72,0.34,0.47
Ergothioneine,SSISHJJTAXXQAX-ZETCQYMHSA-N,C[N+](C)(C)C(CC1=CN=C(N1)[S-])C(=O)O,7.74,6.71,6.63,8.11,6.67,8.21,,1.03,1.11,0.37,1.08,0.46
Erucamide,UAUDZVJPLUQNMU-KTKRTIGZSA-N,CCCCCCCCC=CCCCCCCCCCCCC(=O)N,1.06,1.45,1.57,1.92,1.56,1.41,,0.39,0.51,0.86,0.50,0.35
Escitalopram,WSEQXVZVJXJVFP-FQEVSTJZSA-N,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,2.20,2.53,2.39,2.42,2.78,2.52,,0.33,0.19,0.21,0.58,0.32
Esmolol,AQNDDEOPVVGCPG-UHFFFAOYSA-N,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,3.13,3.67,3.49,3.80,3.81,4.06,,0.54,0.35,0.67,0.67,0.92
Esomeprazole,SUBDBMMJDZJVOS-DEOSSOPVSA-N,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,1.35,1.45,1.39,1.64,1.37,1.39,,0.10,0.04,0.30,0.02,0.05
Ethanolamine,HZAXFHJVJLSVMW-UHFFFAOYSA-N,C(CO)N,7.15,6.34,6.47,5.67,6.44,5.74,,0.81,0.68,1.48,0.71,1.41
Ethylbutanoate,OBNCKNCVKJNDBV-UHFFFAOYSA-N,CCCC(=O)OCC,4.88,4.55,4.34,2.67,4.27,4.57,,0.33,0.54,2.21,0.61,0.31
Etomidate,NPUKDXXFDDZOKR-LLVKDONJSA-N,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2,0.98,1.22,1.10,1.55,1.39,1.12,,0.24,0.12,0.56,0.41,0.14
Etoposide,VJJPUSNTGOMMGY-MRVIYFEKSA-N,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,1.30,1.59,1.67,1.78,1.19,0.82,,0.29,0.37,0.48,0.11,0.48
Exemestane,BFYIZQONLCFLEV-DAELLWKTSA-N,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,0.98,1.05,1.02,1.10,1.05,1.07,,0.07,0.04,0.12,0.06,0.08
Ezetimibe,OLNTVTPDXPETLC-XPWALMASSA-N,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O,1.03,1.00,1.11,1.18,1.02,0.95,,0.03,0.08,0.15,0.00,0.08
Famciclovir,GGXKWVWZWMLJEH-UHFFFAOYSA-N,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,1.38,1.92,1.86,1.81,1.82,1.57,,0.54,0.48,0.44,0.45,0.19
Famotidine,XUFQPHANEAPEMJ-UHFFFAOYSA-N,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,5.59,5.93,5.70,6.83,5.41,5.95,,0.34,0.11,1.24,0.18,0.35
Felbamate,WKGXYQFOCVYPAC-UHFFFAOYSA-N,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,1.20,2.05,1.78,2.10,1.75,1.41,,0.85,0.58,0.90,0.56,0.22
Fenfluramine,DBGIVFWFUFKIQN-UHFFFAOYSA-N,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,2.33,2.60,2.48,3.59,2.27,2.75,,0.27,0.15,1.25,0.07,0.41
Fenoldopam,TVURRHSHRRELCG-UHFFFAOYSA-N,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,5.68,4.89,4.94,5.32,4.87,5.79,,0.79,0.74,0.36,0.81,0.11
Fenoxaprop-P-ethyl,PQKBPHSEKWERTG-LLVKDONJSA-N,CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl,1.01,1.00,1.03,0.21,1.08,0.84,,0.01,0.02,0.80,0.07,0.18
Ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,COC1=C(C=CC(=C1)C=CC(=O)O)O,1.42,1.38,1.42,2.02,1.47,2.70,,0.04,0.00,0.60,0.05,1.28
Finasteride,DBEPLOCGEIEOCV-WSBQPABSSA-N,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,1.17,1.11,1.22,1.74,1.16,1.00,,0.06,0.05,0.57,0.02,0.17
FlavinÂ adenineÂ dinucleotide,VWWQXMAJTJZDQX-UYBVJOGSSA-N,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C5N=CN=C6N)O)O)O)O)O,9.52,9.35,9.11,8.63,9.49,9.32,,0.17,0.41,0.89,0.03,0.20
Flubendazole,CPEUVMUXAHMANV-UHFFFAOYSA-N,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F,1.16,1.36,1.25,1.71,1.27,1.86,,0.20,0.09,0.55,0.11,0.71
Flumazenil,OFBIFZUFASYYRE-UHFFFAOYSA-N,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,1.08,1.23,1.13,2.13,1.41,1.14,,0.15,0.06,1.06,0.33,0.06
Flunitrazepam,PPTYJKAXVCCBDU-UHFFFAOYSA-N,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,1.05,0.99,1.10,0.46,1.15,0.86,,0.06,0.06,0.59,0.10,0.19
Fluorene,NIHNNTQXNPWCJQ-UHFFFAOYSA-N,C1C2=CC=CC=C2C3=CC=CC=C31,6.66,4.85,4.99,2.91,5.13,7.65,,1.81,1.67,3.75,1.53,0.99
Fluperlapine,OBWGMKKHCLHVIE-UHFFFAOYSA-N,CN1CCN(CC1)C2=NC3=C(CC4=CC=CC=C42)C=CC(=C3)F,2.30,2.53,2.41,2.76,2.25,3.04,,0.23,0.11,0.46,0.05,0.74
Fluphenazine,PLDUPXSUYLZYBN-UHFFFAOYSA-N,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,2.74,2.60,2.66,3.22,2.60,2.99,,0.14,0.08,0.48,0.14,0.25
Flurazepam,SAADBVWGJQAEFS-UHFFFAOYSA-N,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,2.41,2.27,2.39,1.86,2.19,1.62,,0.14,0.02,0.55,0.22,0.78
Fluvoxamine,CJOFXWAVKWHTFT-XSFVSMFZSA-N,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,2.93,3.10,3.15,2.82,2.95,3.39,,0.17,0.22,0.11,0.02,0.46
Folinic acid,VVIAGPKUTFNRDU-ABLWVSNPSA-N,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,7.92,8.27,7.83,9.18,8.19,8.90,,0.35,0.08,1.27,0.27,0.98
Formononetine,HKQYGTCOTHHOMP-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,1.18,0.97,1.18,1.51,1.04,1.06,,0.21,0.01,0.33,0.14,0.13
Formoterol,BPZSYCZIITTYBL-UHFFFAOYSA-N,CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O,5.18,4.67,4.79,5.36,4.55,5.65,,0.51,0.40,0.18,0.64,0.47
Fucoxanthin,SJWWTRQNNRNTPU-ABBNZJFMSA-N,CC(=CC=CC=C(C)C=CC=C(C)C(=O)CC12C(O1)(CC(CC2(C)C)O)C)C=CC=C(C)C=C=C3C(CC(CC3(C)C)OC(=O)C)(C)O,1.07,0.63,1.18,0.62,0.58,0.94,,0.44,0.11,0.45,0.48,0.13
Gabexate,YKGYIDJEEQRWQH-UHFFFAOYSA-N,CCOC(=O)C1=CC=C(C=C1)OC(=O)CCCCCN=C(N)N,3.45,3.89,3.83,4.30,3.92,3.98,,0.44,0.38,0.85,0.47,0.53
Galanthamine,ASUTZQLVASHGKV-JDFRZJQESA-N,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,4.62,4.01,4.22,3.66,4.11,4.22,,0.61,0.40,0.95,0.51,0.39
gamma-Glutamyl-cysteine,RITKHVBHSGLULN-WHFBIAKZSA-N,C(CC(=O)NC(CS)C(=O)O)C(C(=O)O)N,8.98,9.15,9.00,8.58,9.17,9.14,,0.17,0.02,0.40,0.19,0.16
gamma-Glutamylglutamine,JBFYFLXEJFQWMU-WDSKDSINSA-N,C(CC(=O)NC(CCC(=O)N)C(=O)O)C(C(=O)O)N,9.55,9.44,9.35,9.03,9.41,9.73,,0.11,0.20,0.51,0.14,0.19
gamma-Glutamyltyrosine,VVLXCWVSSLFQDS-QWRGUYRKSA-N,C1=CC(=CC=C1CC(C(=O)O)NC(=O)CCC(C(=O)O)N)O,8.52,8.85,8.40,9.01,8.58,9.20,,0.33,0.12,0.49,0.06,0.68
Geranic acid,ZHYZQXUYZJNEHD-VQHVLOKHSA-N,CC(=CCCC(=CC(=O)O)C)C,1.30,1.99,1.97,2.72,1.81,2.55,,0.69,0.66,1.42,0.50,1.24
Glimepiride,WIGIZIANZCJQQY-UHFFFAOYSA-N,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,1.05,1.12,1.40,0.61,1.01,1.51,,0.07,0.35,0.44,0.04,0.46
Glu-Val-Phe,FVGOGEGGQLNZGH-DZKIICNBSA-N,CC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CCC(=O)O)N,7.66,7.61,7.40,7.70,7.46,7.99,,0.05,0.25,0.05,0.20,0.33
Glucosamine-6-phosphate,XHMJOUIAFHJHBW-UKFBFLRUSA-N,C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O,10.06,9.57,9.65,9.25,9.42,10.03,,0.49,0.41,0.81,0.64,0.04
Glucose-1-phosphate,HXXFSFRBOHSIMQ-VFUOTHLCSA-N,C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O,9.61,8.97,9.06,9.11,8.93,9.64,,0.64,0.55,0.50,0.67,0.03
Glucose-6-phosphate,NBSCHQHZLSJFNQ-GASJEMHNSA-N,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O,9.86,9.66,9.70,9.13,9.84,10.02,,0.20,0.16,0.73,0.02,0.17
Glutathione (oxidized),YPZRWBKMTBYPTK-BJDJZHNGSA-N,C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N,10.17,9.80,9.70,9.41,9.99,10.68,,0.37,0.47,0.75,0.18,0.51
Glutathione (reduced),RWSXRVCMGQZWBV-WDSKDSINSA-N,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,8.98,9.27,9.12,9.06,9.27,9.67,,0.29,0.14,0.08,0.29,0.69
Gly-Gly-Gly,XKUKSGPZAADMRA-UHFFFAOYSA-N,C(C(=O)NCC(=O)NCC(=O)O)N,9.18,9.08,8.91,8.81,8.92,9.17,,0.10,0.27,0.37,0.26,0.01
Gly-Ile,KGVHCTWYMPWEGN-UHFFFAOYSA-N,CCC(C)C(C(=O)O)NC(=O)CN,7.67,7.67,7.67,6.96,7.92,7.46,,0.00,0.01,0.70,0.25,0.20
Gly-Tyr-Ala,UIQGJYUEQDOODF-KWQFWETISA-N,CC(C(=O)[O-])NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C[NH3+],7.89,8.22,7.77,8.01,7.95,8.36,,0.33,0.12,0.11,0.06,0.47
Gly-Tyr,XBGGUPMXALFZOT-VIFPVBQESA-N,C1=CC(=CC=C1CC(C(=O)O)NC(=O)CN)O,8.07,8.20,8.08,8.26,8.42,8.41,,0.13,0.01,0.19,0.35,0.33
Glycine,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C(C(=O)[O-])[NH3+],8.33,8.12,7.81,7.42,7.95,7.76,,0.21,0.52,0.91,0.38,0.57
Glycitein,DXYUAIFZCFRPTH-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O,1.32,1.05,1.27,1.27,1.12,1.05,,0.27,0.05,0.05,0.20,0.27
Goserelin,BLCLNMBMMGCOAS-URPVMXJPSA-N,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,7.83,7.48,7.11,8.20,7.63,8.76,,0.35,0.72,0.37,0.20,0.93
GR 89696,HJUAKZYKCANOOZ-UHFFFAOYSA-N,COC(=O)N1CCN(C(C1)CN2CCCC2)C(=O)CC3=CC(=C(C=C3)Cl)Cl,2.56,2.61,2.75,2.60,2.90,3.17,,0.05,0.20,0.04,0.34,0.62
Granisetron,MFWNKCLOYSRHCJ-AGUYFDCRSA-N,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,4.12,3.98,3.85,3.14,3.79,4.09,,0.14,0.27,0.98,0.33,0.03
Guanidinoacetic acid,BPMFZUMJYQTVII-UHFFFAOYSA-N,C(C(=O)[O-])[NH+]=C(N)N,8.16,8.26,8.20,8.93,8.27,8.84,,0.10,0.04,0.77,0.10,0.68
Guanine,UYTPUPDQBNUYGX-UHFFFAOYSA-N,C1=NC2=C(N1)C(=O)N=C(N2)N,6.40,5.41,5.47,4.58,5.72,6.00,,0.99,0.93,1.82,0.68,0.40
"Guanosine-3',5'-cyclic monophosphate",ZOOGRGPOEVQQDX-UUOKFMHZSA-N,C1C2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)OP(=O)(O1)O,8.39,8.33,8.13,8.09,8.55,8.82,,0.06,0.26,0.30,0.16,0.43
